Hash Size,Image Shape,Image Type,Accuracy,Fit Time,Average Query Time,acc,loss
8,"(128, 128)",blackwhite/string_image,0.5,11.981979608535767,2.473377227783203e-05,0.5000,0.6932
8,"(128, 128)",color/string_image/not_smooth,0.5,11.432582139968872,2.3457298278808593e-05,0.5000,0.6931
8,"(128, 128)",color/string_image/smooth,0.49536,22.335270643234253,2.5531768798828124e-05,0.4954,0.6932
8,"(128, 128)",color/full_image/not_smooth,0.5,12.263668775558472,2.936145782470703e-05,0.5000,0.6933
8,"(128, 128)",color/full_image/smooth,0.49536,23.887919902801514,3.2233810424804686e-05,0.4954,0.6932
8,"(128, 128)",color/string_image/smooth,0.49536,23.64089798927307,3.638713836669922e-05,0.4954,0.6932
8,"(128, 128)",grayscale/full_image,0.49536,24.04769206047058,3.638263702392578e-05,0.4954,0.6932
8,"(128, 128)",blackwhite/full_image,0.49536,24.33427596092224,3.478710174560547e-05,0.4954,0.6932
8,"(128, 128)",grayscale/string_image,0.49536,22.420042991638184,3.590415954589844e-05,0.4954,0.6932
8,"(64, 64)",blackwhite/string_image,0.5,12.913238525390625,4.101024627685547e-05,0.5000,0.6932
8,"(64, 64)",color/string_image/not_smooth,0.5,13.512423038482666,4.101047515869141e-05,0.5000,0.6933
8,"(64, 64)",color/string_image/smooth,0.49536,23.043376922607422,4.021251678466797e-05,0.4954,0.6932
8,"(64, 64)",color/full_image/not_smooth,0.5,12.621647357940674,4.420169830322266e-05,0.5000,0.6933
8,"(64, 64)",color/full_image/smooth,0.49536,24.53219962120056,4.851020812988281e-05,0.4954,0.6932
8,"(64, 64)",color/string_image/smooth,0.49536,24.298730611801147,4.835052490234375e-05,0.4954,0.6932
8,"(64, 64)",grayscale/full_image,0.49536,25.003408432006836,4.994640350341797e-05,0.4954,0.6932
8,"(64, 64)",blackwhite/full_image,0.49536,14.06868028640747,5.441452026367188e-05,0.5046,0.6931
8,"(64, 64)",grayscale/string_image,0.49536,27.46882915496826,6.446765899658203e-05,0.4954,0.6932
8,"(48, 64)",blackwhite/string_image,0.5,14.92549467086792,6.478672027587891e-05,0.5000,0.6932
8,"(48, 64)",color/string_image/not_smooth,0.5,15.26963758468628,7.005252838134765e-05,0.5000,0.6933
8,"(48, 64)",color/string_image/smooth,0.49536,28.2811336517334,6.335067749023437e-05,0.4954,0.6932
8,"(48, 64)",color/full_image/not_smooth,0.5,13.966830253601074,6.696533203125e-05,0.5000,0.6932
8,"(48, 64)",color/full_image/smooth,0.49536,34.17268514633179,8.388248443603516e-05,0.4954,0.6932
8,"(48, 64)",color/string_image/smooth,0.49536,31.050692319869995,7.180809020996094e-05,0.4954,0.6932
8,"(48, 64)",grayscale/full_image,0.49536,14.596214294433594,6.830169677734374e-05,0.5046,0.6931
8,"(48, 64)",blackwhite/full_image,0.49536,28.798986673355103,7.228679656982421e-05,0.4954,0.6932
8,"(48, 64)",grayscale/string_image,0.49536,28.787988662719727,7.26058578491211e-05,0.4954,0.6932
8,"(128, 64)",blackwhite/string_image,0.5,17.166093349456787,7.819095611572265e-05,0.5000,0.6932
8,"(128, 64)",color/string_image/not_smooth,0.5,14.344639778137207,8.138248443603515e-05,0.5030,0.6931
8,"(128, 64)",color/string_image/smooth,0.49536,35.55890941619873,9.95736312866211e-05,0.4954,0.6932
8,"(128, 64)",color/full_image/not_smooth,0.5,20.24685525894165,0.00010547798156738281,0.5000,0.6932
8,"(128, 64)",color/full_image/smooth,0.49536,39.07051873207092,0.00010691410064697266,0.4954,0.6932
8,"(128, 64)",color/string_image/smooth,0.49536,41.71344995498657,8.345703125e-05,0.4954,0.6932
8,"(128, 64)",grayscale/full_image,0.49536,38.38335585594177,0.00010755229949951171,0.4954,0.6932
8,"(128, 64)",blackwhite/full_image,0.49536,37.19553232192993,0.00010499927520751954,0.4954,0.6932
8,"(128, 64)",grayscale/string_image,0.49536,28.3072988986969,8.457389831542968e-05,0.4954,0.6932
16,"(128, 128)",blackwhite/string_image,0.5,30.67183208465576,0.0001008526611328125,0.5000,0.6932
16,"(128, 128)",color/string_image/not_smooth,0.5,34.931586265563965,9.542900085449219e-05,0.5000,0.6932
16,"(128, 128)",color/string_image/smooth,0.49536,25.37717080116272,0.00010297477722167968,0.5046,0.6931
16,"(128, 128)",color/full_image/not_smooth,0.5,31.871692657470703,0.0001070206069946289,0.5000,0.6932
16,"(128, 128)",color/full_image/smooth,0.49536,22.498650789260864,0.00010014633178710937,0.4954,0.6932
16,"(128, 128)",color/string_image/smooth,0.49536,65.6283175945282,0.00010889152526855468,0.5046,0.6931
16,"(128, 128)",grayscale/full_image,0.49536,30.969885110855103,0.00012590324401855467,0.5046,0.6931
16,"(128, 128)",blackwhite/full_image,0.49536,67.7189371585846,0.00011829582214355468,0.5046,0.6931
16,"(128, 128)",grayscale/string_image,0.49536,22.60247802734375,0.00011573352813720703,0.5046,0.6931
16,"(64, 64)",blackwhite/string_image,0.5,34.96864104270935,0.00012681377410888673,0.5000,0.6932
16,"(64, 64)",color/string_image/not_smooth,0.5,34.34585499763489,0.00012060279846191407,0.5000,0.6932
16,"(64, 64)",color/string_image/smooth,0.49536,24.75184941291809,0.00014374252319335938,0.5046,0.6931
16,"(64, 64)",color/full_image/not_smooth,0.5,35.770023584365845,0.0001348598098754883,0.5000,0.6932
16,"(64, 64)",color/full_image/smooth,0.49536,75.80948853492737,0.00014154857635498047,0.5046,0.6931
16,"(64, 64)",color/string_image/smooth,0.49536,79.49670958518982,0.00014388843536376953,0.5046,0.6931
16,"(64, 64)",grayscale/full_image,0.49536,30.890498876571655,0.00014570171356201173,0.4954,0.6932
16,"(64, 64)",blackwhite/full_image,0.49536,26.57457947731018,0.00016363254547119142,0.5046,0.6931
16,"(64, 64)",grayscale/string_image,0.49536,25.128029108047485,0.00015123401641845704,0.5046,0.6931
16,"(48, 64)",blackwhite/string_image,0.5,38.21217584609985,0.00016002208709716797,0.5000,0.6932
16,"(48, 64)",color/string_image/not_smooth,0.5,38.242740631103516,0.0001542292022705078,0.5000,0.6932
16,"(48, 64)",color/string_image/smooth,0.49536,37.79669404029846,0.00016380298614501954,0.4954,0.6932
16,"(48, 64)",color/full_image/not_smooth,0.5,38.30772686004639,0.00015883495330810547,0.5000,0.6932
16,"(48, 64)",color/full_image/smooth,0.49536,27.94732356071472,0.00019305965423583986,0.5046,0.6931
16,"(48, 64)",color/string_image/smooth,0.49536,76.25883746147156,0.00014393985748291016,0.5046,0.6931
16,"(48, 64)",grayscale/full_image,0.49536,72.56620144844055,0.00014475090026855469,0.5046,0.6931
16,"(48, 64)",blackwhite/full_image,0.49536,80.78244853019714,0.00014966651916503907,0.5046,0.6931
16,"(48, 64)",grayscale/string_image,0.49536,75.80791139602661,0.00013661888122558594,0.5046,0.6931
16,"(128, 64)",blackwhite/string_image,0.5,31.07938504219055,0.00014625003814697265,0.5000,0.6932
16,"(128, 64)",color/string_image/not_smooth,0.5,35.583149909973145,0.00014002128601074218,0.5000,0.6932
16,"(128, 64)",color/string_image/smooth,0.49536,70.9745032787323,0.0001638510513305664,0.5046,0.6931
16,"(128, 64)",color/full_image/not_smooth,0.5,38.164140462875366,0.00016606918334960937,0.5000,0.6932
16,"(128, 64)",color/full_image/smooth,0.49536,80.11032271385193,0.00015447406768798828,0.5046,0.6931
16,"(128, 64)",color/string_image/smooth,0.49536,78.37626361846924,0.00016981178283691407,0.5046,0.6931
16,"(128, 64)",grayscale/full_image,0.49536,77.85351347923279,0.0001628538513183594,0.5046,0.6931
16,"(128, 64)",blackwhite/full_image,0.49536,27.402796745300293,0.00015638687133789062,0.4954,0.6932
16,"(128, 64)",grayscale/string_image,0.49536,80.28534507751465,0.0001731378173828125,0.5046,0.6931
32,"(128, 128)",blackwhite/string_image,0.5,46.329591512680054,0.00022331878662109375,0.5000,0.6931
32,"(128, 128)",color/string_image/not_smooth,0.5,49.328202962875366,0.0002233340072631836,0.5000,0.6931
32,"(128, 128)",color/string_image/smooth,0.49536,51.55661725997925,0.00022225452423095703,0.5046,0.6931
32,"(128, 128)",color/full_image/not_smooth,0.5,49.14114046096802,0.0002256228256225586,0.5000,0.6931
32,"(128, 128)",color/full_image/smooth,0.49536,52.53989863395691,0.00017226150512695312,0.5046,0.6931
32,"(128, 128)",color/string_image/smooth,0.49536,44.59310293197632,0.00022655036926269532,0.5046,0.6931
32,"(128, 128)",grayscale/full_image,0.49536,43.512489557266235,0.000193331298828125,0.5046,0.6931
32,"(128, 128)",blackwhite/full_image,0.49536,43.246001958847046,0.00017485782623291016,0.5046,0.6933
32,"(128, 128)",grayscale/string_image,0.49536,43.03965878486633,0.00018881301879882813,0.5046,0.6931
32,"(64, 64)",blackwhite/string_image,0.5,56.56952452659607,0.00018061912536621093,0.5000,0.6932
32,"(64, 64)",color/string_image/not_smooth,0.5,43.30119967460632,0.00019678260803222657,0.5000,0.6931
32,"(64, 64)",color/string_image/smooth,0.49536,48.29178547859192,0.00023382358551025392,0.5046,0.6931
32,"(64, 64)",color/full_image/not_smooth,0.5,47.057002782821655,0.00020780277252197265,0.5000,0.6931
32,"(64, 64)",color/full_image/smooth,0.49536,53.008328914642334,0.00023681495666503906,0.5046,0.6931
32,"(64, 64)",color/string_image/smooth,0.49536,50.83838629722595,0.00024041271209716798,0.5046,0.6931
32,"(64, 64)",grayscale/full_image,0.49536,55.20139145851135,0.0002694760513305664,0.5046,0.6932
32,"(64, 64)",blackwhite/full_image,0.49536,55.30515742301941,0.00025963253021240234,0.5046,0.6932
32,"(64, 64)",grayscale/string_image,0.49536,51.42835259437561,0.00019819522857666014,0.5046,0.6931
32,"(48, 64)",blackwhite/string_image,0.5,52.887842416763306,0.00021064136505126953,0.5000,0.6932
32,"(48, 64)",color/string_image/not_smooth,0.5,107.88739943504333,0.00021702407836914062,0.5000,0.6931
32,"(48, 64)",color/string_image/smooth,0.49536,52.19673562049866,0.00023581783294677734,0.5046,0.6931
32,"(48, 64)",color/full_image/not_smooth,0.5,51.22095775604248,0.00027881729125976565,0.5000,0.6931
32,"(48, 64)",color/full_image/smooth,0.49536,56.144975900650024,0.00025323139190673826,0.5046,0.6931
32,"(48, 64)",color/string_image/smooth,0.49536,56.002304553985596,0.0002742473983764648,0.5046,0.6931
32,"(48, 64)",grayscale/full_image,0.49536,55.00261306762695,0.00025244918823242186,0.5046,0.6931
32,"(48, 64)",blackwhite/full_image,0.49536,55.13489747047424,0.00025802993774414065,0.5046,0.6931
32,"(48, 64)",grayscale/string_image,0.49536,60.5443856716156,0.00025419994354248046,0.5046,0.6931
32,"(128, 64)",blackwhite/string_image,0.5,53.255024671554565,0.00026250308990478515,0.5000,0.6931
32,"(128, 64)",color/string_image/not_smooth,0.5,51.419585943222046,0.000262178955078125,0.5000,0.6931
32,"(128, 64)",color/string_image/smooth,0.49536,58.92875051498413,0.00024159900665283204,0.5046,0.6932
32,"(128, 64)",color/full_image/not_smooth,0.5,55.17820644378662,0.0002734054183959961,0.5000,0.6931
32,"(128, 64)",color/full_image/smooth,0.49536,56.59288167953491,0.00026084381103515627,0.5046,0.6931
32,"(128, 64)",color/string_image/smooth,0.49536,54.59560680389404,0.0002483002090454102,0.5046,0.6931
32,"(128, 64)",grayscale/full_image,0.49536,57.20760941505432,0.0002580361557006836,0.5046,0.6931
32,"(128, 64)",blackwhite/full_image,0.49536,56.08279633522034,0.00026377464294433594,0.5046,0.6931
32,"(128, 64)",grayscale/string_image,0.49536,58.753530502319336,0.00030899555206298827,0.5046,0.6931
64,"(128, 128)",blackwhite/string_image,0.5,97.5938675403595,0.0003038274383544922,0.5000,0.6931
64,"(128, 128)",color/string_image/not_smooth,0.5,97.79707169532776,0.0002912213516235352,0.5000,0.6931
64,"(128, 128)",color/string_image/smooth,0.49536,80.3870141506195,0.0004758551025390625,0.5046,0.6931
64,"(128, 128)",color/full_image/not_smooth,0.5,107.19258189201355,0.00030041004180908205,0.5000,0.6931
64,"(128, 128)",color/full_image/smooth,0.49536,88.26109170913696,0.00027377487182617187,0.5046,0.6931
64,"(128, 128)",color/string_image/smooth,0.49536,135.8195607662201,0.00031700916290283205,0.5046,0.6931
64,"(128, 128)",grayscale/full_image,0.49536,82.51003289222717,0.0002971724319458008,0.5046,0.6931
64,"(128, 128)",blackwhite/full_image,0.49536,61.62166118621826,0.0003007638931274414,0.5046,0.6931
64,"(128, 128)",grayscale/string_image,0.49536,82.6027090549469,0.00037978099822998047,0.5046,0.6931
64,"(64, 64)",blackwhite/string_image,0.5,107.86927652359009,0.000357762451171875,0.5000,0.6931
64,"(64, 64)",color/string_image/not_smooth,0.5,193.94530630111694,0.00037056739807128907,0.5000,0.6931
64,"(64, 64)",color/string_image/smooth,0.49536,75.40498948097229,0.00041148136138916013,0.5046,0.6931
64,"(64, 64)",color/full_image/not_smooth,0.5,86.04804635047913,0.000367756462097168,0.5000,0.6932
64,"(64, 64)",color/full_image/smooth,0.49536,155.2463355064392,0.0003245002365112305,0.5046,0.6931
64,"(64, 64)",color/string_image/smooth,0.49536,90.19798135757446,0.0003312154006958008,0.5046,0.6931
64,"(64, 64)",grayscale/full_image,0.49536,139.44985127449036,0.00033402603149414065,0.5046,0.6931
64,"(64, 64)",blackwhite/full_image,0.49536,90.24993515014648,0.00033496307373046875,0.5046,0.6931
64,"(64, 64)",grayscale/string_image,0.49536,69.54290127754211,0.0003396479034423828,0.5046,0.6931
64,"(48, 64)",blackwhite/string_image,0.5,106.12520456314087,0.0003825920104980469,0.4978,0.6931
64,"(48, 64)",color/string_image/not_smooth,0.5,106.66962599754333,0.00035479545593261716,0.5000,0.6931
64,"(48, 64)",color/string_image/smooth,0.49536,154.31041932106018,0.00037650146484375,0.5046,0.6931
64,"(48, 64)",color/full_image/not_smooth,0.5,92.50134038925171,0.00047863021850585936,0.5000,0.6932
64,"(48, 64)",color/full_image/smooth,0.49536,108.63363814353943,0.00047628803253173827,0.5046,0.6931
64,"(48, 64)",color/string_image/smooth,0.49536,73.95149207115173,0.0003780633163452148,0.5046,0.6931
64,"(48, 64)",grayscale/full_image,0.49536,94.15858888626099,0.0003373055648803711,0.5046,0.6931
64,"(48, 64)",blackwhite/full_image,0.49536,72.41038680076599,0.00033793014526367187,0.5046,0.6931
64,"(48, 64)",grayscale/string_image,0.49536,136.5101137161255,0.00033933563232421877,0.5046,0.6931
64,"(128, 64)",blackwhite/string_image,0.5,98.84924244880676,0.0003769700241088867,0.5000,0.6931
64,"(128, 64)",color/string_image/not_smooth,0.5,99.99994611740112,0.0003454256820678711,0.5000,0.6931
64,"(128, 64)",color/string_image/smooth,0.49536,89.08924698829651,0.00034729976654052737,0.5046,0.6931
64,"(128, 64)",color/full_image/not_smooth,0.5,111.25224590301514,0.0003512038421630859,0.5000,0.6933
64,"(128, 64)",color/full_image/smooth,0.49536,70.65861487388611,0.0003741592788696289,0.5046,0.6931
64,"(128, 64)",color/string_image/smooth,0.49536,100.61933588981628,0.00037369083404541014,0.5046,0.6931
64,"(128, 64)",grayscale/full_image,0.49536,100.87503242492676,0.00045286376953125,0.5046,0.6931
64,"(128, 64)",blackwhite/full_image,0.49536,96.69218945503235,0.00044661750793457034,0.5046,0.6931
64,"(128, 64)",grayscale/string_image,0.49536,108.5816400051117,0.0004208510971069336,0.5046,0.6931
128,"(128, 128)",blackwhite/string_image,0.5,152.82686924934387,0.00043631099700927736,0.5000,0.6931
128,"(128, 128)",color/string_image/not_smooth,0.5,181.7186257839203,0.0006319793319702148,0.5000,0.6931
128,"(128, 128)",color/string_image/smooth,0.49536,151.84991312026978,0.0004658252716064453,0.5046,0.6931
128,"(128, 128)",color/full_image/not_smooth,0.5,173.3127212524414,0.0004957941436767578,0.5000,0.6931
128,"(128, 128)",color/full_image/smooth,0.49536,148.84762024879456,0.0004983472824096679,0.5046,0.6931
128,"(128, 128)",color/string_image/smooth,0.49536,153.6809983253479,0.0005339321136474609,0.5046,0.6931
128,"(128, 128)",grayscale/full_image,0.49536,165.82091689109802,0.000503775634765625,0.5046,0.6931
128,"(128, 128)",blackwhite/full_image,0.49536,186.629643201828,0.0005427207565307618,0.4954,0.6932
128,"(128, 128)",grayscale/string_image,0.49536,168.31105589866638,0.0006054608154296875,0.4954,0.6932
128,"(64, 64)",blackwhite/string_image,0.5,183.03531765937805,0.0005947534942626953,0.5000,0.6931
128,"(64, 64)",color/string_image/not_smooth,0.5,183.5715651512146,0.0006834675598144531,0.5000,0.6931
128,"(64, 64)",color/string_image/smooth,0.49536,167.91448998451233,0.0007191026306152344,0.5046,0.6931
128,"(64, 64)",color/full_image/not_smooth,0.5,171.4128017425537,0.0005056357192993164,0.5000,0.6931
128,"(64, 64)",color/full_image/smooth,0.49536,126.14105606079102,0.00048111331939697266,0.5046,0.6931
128,"(64, 64)",color/string_image/smooth,0.49536,134.11136174201965,0.0005004217147827148,0.5046,0.6931
128,"(64, 64)",grayscale/full_image,0.49536,134.76062488555908,0.0004865389633178711,0.5046,0.6931
128,"(64, 64)",blackwhite/full_image,0.49536,139.86485028266907,0.0006518569946289063,0.5046,0.6931
128,"(64, 64)",grayscale/string_image,0.49536,145.5705211162567,0.0005345706176757812,0.5046,0.6931
128,"(48, 64)",blackwhite/string_image,0.5,175.8188192844391,0.0006531333923339844,0.5000,0.6931
128,"(48, 64)",color/string_image/not_smooth,0.5,179.64339470863342,0.0006047828674316406,0.5000,0.6931
128,"(48, 64)",color/string_image/smooth,0.49536,152.95928978919983,0.0006939052200317382,0.5046,0.6931
128,"(48, 64)",color/full_image/not_smooth,0.5,191.05122709274292,0.0007550074768066406,0.5000,0.6931
128,"(48, 64)",color/full_image/smooth,0.49536,152.00441932678223,0.0005711126708984375,0.5046,0.6931
128,"(48, 64)",color/string_image/smooth,0.49536,146.79171872138977,0.0005626554489135742,0.5046,0.6931
128,"(48, 64)",grayscale/full_image,0.49536,157.46332812309265,0.0006526546859741211,0.5046,0.6931
128,"(48, 64)",blackwhite/full_image,0.49536,156.73486399650574,0.0007217499923706054,0.5046,0.6931
128,"(48, 64)",grayscale/string_image,0.49536,165.21986317634583,0.0006199422836303711,0.5046,0.6931
128,"(128, 64)",blackwhite/string_image,0.5,151.1797173023224,0.0005792509841918946,0.5000,0.6931
128,"(128, 64)",color/string_image/not_smooth,0.5,154.91770148277283,0.0005575489807128906,0.5000,0.6931
128,"(128, 64)",color/string_image/smooth,0.49536,123.27640724182129,0.0005405492782592774,0.5046,0.6931
128,"(128, 64)",color/full_image/not_smooth,0.5,157.02724957466125,0.0005765383529663086,0.5000,0.6931
128,"(128, 64)",color/full_image/smooth,0.49536,135.23127627372742,0.0005293046951293946,0.5046,0.6931
128,"(128, 64)",color/string_image/smooth,0.49536,136.94378542900085,0.0005139854431152344,0.5046,0.6931
128,"(128, 64)",grayscale/full_image,0.49536,124.46017098426819,0.0005213259506225586,0.5046,0.6931
128,"(128, 64)",blackwhite/full_image,0.49536,118.23578906059265,0.0005616978836059571,0.5046,0.6931
128,"(128, 64)",grayscale/string_image,0.49536,136.06311464309692,0.000523719482421875,0.5046,0.6931
